"job_id","company_name","job_title_short","job_location","salary_year_avg"
596565,"ICF","Data Analyst","Anywhere","122769.0"
1015777,"Analytic Recruiting Inc.","Data Analyst","Anywhere","122500.0"
841943,"Get It Recruit - Finance","Data Analyst","Anywhere","122500.0"
238020,"Innova Solutions","Data Analyst","Anywhere","122500.0"
298860,"Cloudflare","Data Analyst","Anywhere","122000.0"
426033,"CloudFlare","Data Analyst","Anywhere","122000.0"
587198,"Motion Recruitment","Data Analyst","Anywhere","120000.0"
946582,"Jobot","Data Analyst","Anywhere","120000.0"
236172,"Get It Recruit - Information Technology","Data Analyst","Anywhere","120000.0"
1191992,"Robert Half","Data Analyst","Anywhere","120000.0"
1611348,"M13","Data Analyst","Anywhere","120000.0"
999820,"LAI","Data Analyst","Anywhere","120000.0"
